region	n	trait	results	abbreviation	category	color
region_chr16_10054_1157206	7	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr16_10332175_11426305	3	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr16_27434434_29025292	322	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_eqtl	IBD	Immune	#40A0A0
region_chr16_68807460_71020125	173	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr16_85115079_86122993	46	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr17_16509028_18953007	78	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr17_21387045_29007226	346	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr17_38653091_40721152	513	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr18_45342141_46719283	57	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr19_16263605_18299052	288	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr19_40478694_41625199	193	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr19_44239955_45599439	3	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr19_6684874_8282629	12	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr19_6684874_8282629	4	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr19_9127717_11173352	126	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr1_109761309_111199115	12	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr1_173128768_175120632	1	RA_OKADA_TRANS_ETHNIC	spredixcan_eqtl	RA	Immune	#40A0A0
region_chr1_181174985_182786221	20	Jones_et_al_2016_Chronotype	spredixcan_eqtl	CHRONO	Psychiatric-neurologic	#0000A0
region_chr1_247181216_248945267	2	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr1_49428505_51248054	10	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_7187275_9305140	10	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr20_55438728_57872903	20	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr21_33853161_35152076	3	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr21_39110976_40017600	1	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr22_27438791_29255810	2	BCAC_ER_negative_BreastCancer_EUR	spredixcan_eqtl	ERNBC	Cancer	#A0A0A0
region_chr22_44599428_46074615	8	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr2_189017339_191108631	6	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr2_23118512_24464049	24	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr2_237852338_239030947	16	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr2_24464049_26672117	67	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr2_28375910_28994693	9	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr2_60064865_62201909	7	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_eqtl	IBD	Immune	#40A0A0
region_chr2_8282017_10158342	34	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr3_135738064_137652241	124	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_157594239_159760101	5	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_185350467_187172556	1	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr3_70399877_72480178	2	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr4_151861032_153556489	7	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr4_48121583_53011266	164	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_112645865_114060588	1	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_123221211_124462407	31	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr5_130183332_132803957	38	EAGLE_Eczema	spredixcan_eqtl	ECZ	Allergy	#FFFF00
region_chr5_141266403_143601683	16	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr5_41888608_43983397	51	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_71944629_74463501	6	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr5_76503041_78327508	1	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr6_125103237_127219316	106	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_30830391_31603441	357	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr6_31603441_32714887	836	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr6_33268720_35487979	44	UKB_20002_1111_self_reported_asthma	spredixcan_eqtl	ATH_UKBS	Allergy	#FFFF00
region_chr6_82417432_84500271	90	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr7_110007537_112978629	14	pgc.scz2	spredixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr7_148118226_150143569	79	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr8_139713400_141963553	3	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr8_7295557_9297184	18	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr9_132423455_134176000	80	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr9_132423455_134176000	6	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr9_33578336_34642246	19	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr9_82825886_84323281	51	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr9_87521331_89827251	2	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr10_124109830_126312529	32	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr10_61581937_64034354	51	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr10_91575290_93636611	21	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr11_122721202_123629409	3	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr11_26998914_28460046	24	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr11_59013076_62456299	93	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr12_3567871_4308513	34	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr13_112918174_114344378	77	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr13_28683414_29909130	2	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_34377045_35390387	1	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr14_64753580_65932837	5	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr15_40885316_42484201	67	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr15_76106283_78223711	1	UKB_20127_Neuroticism_score	spredixcan_eqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr16_86122993_86781805	1	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr17_2025437_3799018	77	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr17_43694719_44979537	15	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr17_47798656_49440038	7	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr17_57280180_59410151	228	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr17_71391676_74676064	6	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr18_48413361_50204214	56	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr19_16263605_18299052	61	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr19_46646825_48778970	29	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr1_107867043_109761309	93	UKB_20002_1473_self_reported_high_cholesterol	spredixcan_eqtl	HC_UKBS	Cardiometabolic	#004000
region_chr1_44503511_46433829	187	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr1_64576021_66473721	25	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr1_76262450_79195513	60	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr20_25363595_33027017	14	UKB_20022_Birth_weight	spredixcan_eqtl	BW_UKB	Anthropometric	#404040
region_chr20_48583442_50623121	128	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr22_19924835_22002927	93	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr22_19924835_22002927	8	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr2_176498908_177688455	3	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr2_19492643_20850730	25	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr2_201953914_204934518	101	CARDIoGRAM_C4D_CAD_ADDITIVE	spredixcan_eqtl	CAD	Cardiometabolic	#004000
region_chr2_64398779_65706310	14	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr2_98378738_101205867	3	UKB_20016_Fluid_intelligence_score	spredixcan_eqtl	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr3_60287177_62369991	29	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_70399877_72480178	1	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr4_119471529_121736832	1	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr4_121736832_123365326	18	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr4_2841252_3844313	2	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr4_55681477_58068842	20	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr5_154393528_155946495	72	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr5_173251324_174215868	40	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr5_179974244_181132933	13	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr5_74463501_76503041	235	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr6_108143176_109983044	47	UKB_20022_Birth_weight	spredixcan_eqtl	BW_UKB	Anthropometric	#404040
region_chr6_121584530_123535036	53	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr6_138501492_139524299	6	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr6_26791023_28050041	63	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr6_28050041_28949831	212	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr6_28050041_28949831	12	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr6_28050041_28949831	120	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_29770194_30830391	330	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr6_30830391_31603441	513	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr6_31603441_32714887	314	IBD.EUR.Ulcerative_Colitis	spredixcan_eqtl	UC	Immune	#40A0A0
region_chr6_31603441_32714887	517	UKB_20002_1222_self_reported_type_1_diabetes	spredixcan_eqtl	T1D_UKBS	Immune	#40A0A0
region_chr6_31603441_32714887	482	pgc.scz2	spredixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr6_43788432_45438826	5	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr6_45438826_47344162	1	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr6_81219505_82417432	20	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr7_137191815_139059933	2	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr7_137191815_139059933	2	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr7_150143569_151014417	17	CARDIoGRAM_C4D_CAD_ADDITIVE	spredixcan_eqtl	CAD	Cardiometabolic	#004000
region_chr7_16862445_19441924	4	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr7_20085285_22468010	1	UKB_20002_1111_self_reported_asthma	spredixcan_eqtl	ATH_UKBS	Allergy	#FFFF00
region_chr7_49172682_51607626	4	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr8_139713400_141963553	1	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr8_21804225_23039544	28	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr8_23039544_24817205	41	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr8_45929693_49169911	45	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr8_7295557_9297184	20	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_eqtl	MWBC	Blood	#C00000
region_chr9_20463536_22206560	26	UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	spredixcan_eqtl	MI_UKB	Cardiometabolic	#004000
region_chr9_4495328_4884926	1	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr9_96159758_98830577	62	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr10_101189482_102620653	2	UKB_20016_Fluid_intelligence_score	spredixcan_eqtl	FIS_UKB	Psychiatric-neurologic	#0000A0
region_chr10_113568673_114661647	3	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_112588765_114387006	18	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr11_121305234_122721202	34	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr11_42288453_44672249	42	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr11_55315181_58690022	12	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr11_74701306_77086163	169	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_102571208_104454918	5	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_106564970_108632125	1	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr12_47321010_48608083	21	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr12_55272053_57155077	344	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr13_26710225_28683414	2	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr13_26710225_28683414	3	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_eqtl	NEC	Blood	#C00000
region_chr13_56980083_57836492	2	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr13_98286665_99921841	4	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr15_38238576_40091931	10	RA_OKADA_TRANS_ETHNIC	spredixcan_eqtl	RA	Immune	#40A0A0
region_chr15_62923023_64812469	16	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr15_71630310_73336373	33	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr15_71630310_73336373	8	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr15_78223711_80568637	6	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr15_80568637_83591716	5	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr17_34585779_36141651	42	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr17_41743558_43694719	20	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr19_11173352_13360313	44	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr19_33772047_35978393	14	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr19_40478694_41625199	94	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr19_43358303_44239955	69	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr19_46646825_48778970	27	Astle_et_al_2016_Lymphocyte_counts	spredixcan_eqtl	LC	Blood	#C00000
region_chr19_9127717_11173352	7	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_eqtl	BNC	Blood	#C00000
region_chr1_105545220_107867043	13	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr1_169117086_170588635	51	UKB_6152_5_diagnosed_by_doctor_Blood_clot_in_the_leg_DVT	spredixcan_eqtl	DVT_UKB	Cardiometabolic	#004000
region_chr1_197342384_199270756	5	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr1_210614406_212668988	1	SSGAC_Education_Years_Pooled	spredixcan_eqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr1_22760390_23594100	52	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_39734895_41509656	87	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_93070902_94040635	89	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr20_25363595_33027017	220	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr20_38281128_39808119	14	pgc.scz2	spredixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr20_57872903_59831517	34	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr21_37339402_39110976	23	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_eqtl	EBC	Blood	#C00000
region_chr2_102072305_102971757	27	IBD.EUR.Crohns_Disease	spredixcan_eqtl	CD	Immune	#40A0A0
region_chr2_164322330_166303760	1	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr2_189017339_191108631	12	Astle_et_al_2016_Reticulocyte_count	spredixcan_eqtl	RET	Blood	#C00000
region_chr2_217530757_219589829	342	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr2_60064865_62201909	4	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr2_84913556_87738988	6	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr3_187172556_189138425	2	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr4_54563389_55681477	4	Astle_et_al_2016_White_blood_cell_count	spredixcan_eqtl	WBC	Blood	#C00000
region_chr5_141266403_143601683	34	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr6_103535520_105608858	16	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr6_133923105_135903039	68	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr6_133923105_135903039	37	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr6_31603441_32714887	1074	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr6_33268720_35487979	4	pgc.scz2	spredixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr7_148118226_150143569	121	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr7_2022763_2732593	37	Astle_et_al_2016_Platelet_count	spredixcan_eqtl	PLT	Blood	#C00000
region_chr8_115084266_118673218	1	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr8_127646866_129368893	4	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr8_19635329_20203345	7	UKB_20002_1473_self_reported_high_cholesterol	spredixcan_eqtl	HC_UKBS	Cardiometabolic	#004000
region_chr8_55033021_56043824	6	Astle_et_al_2016_Neutrophil_count	spredixcan_eqtl	NC	Blood	#C00000
region_chr9_91404921_93909416	27	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr10_26599755_29034307	2	Astle_et_al_2016_Granulocyte_count	spredixcan_eqtl	GC	Blood	#C00000
region_chr10_26599755_29034307	22	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_76947056_79116992	1	BCAC_ER_negative_BreastCancer_EUR	spredixcan_eqtl	ERNBC	Cancer	#A0A0A0
region_chr11_117876395_119344766	96	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr11_1192365_3644251	68	UKB_20002_1065_self_reported_hypertension	spredixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr11_17556855_19547988	1	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr11_46984586_49844498	356	UKB_23099_Body_fat_percentage	spredixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr11_66131160_68238358	34	Astle_et_al_2016_Red_blood_cell_count	spredixcan_eqtl	RBC	Blood	#C00000
region_chr11_69701362_71215246	9	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr11_8311727_9065770	4	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr12_109898914_112825713	1	pgc.scz2	spredixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr12_119316305_121569746	1	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr12_119316305_121569746	326	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_eqtl	HRET	Blood	#C00000
region_chr12_119316305_121569746	3	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_44631_971165	1	Astle_et_al_2016_Monocyte_count	spredixcan_eqtl	MC	Blood	#C00000
region_chr12_55272053_57155077	192	UKB_6152_8_diagnosed_by_doctor_Asthma	spredixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr13_29909130_31727678	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr15_66802429_68725660	39	Astle_et_al_2016_Eosinophil_counts	spredixcan_eqtl	EC	Blood	#C00000
region_chr15_83591716_86109674	268	UKB_50_Standing_height	spredixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr16_10054_1157206	285	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr16_29025292_31371622	1098	UKB_21001_Body_mass_index_BMI	spredixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr17_47798656_49440038	149	GIANT_HEIGHT	spredixcan_eqtl	HEIGHT	Anthropometric	#404040
