phenotype	gene	gene_name	pvalue	rcp
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000077420.15	APBB1IP	5.78544783518208e-28	0.714
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000232629.8	HLA-DQB2	1.34316754840336e-27	0.568
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000249242.7	TMEM150C	7.99800500245478e-26	0.584
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000107929.14	LARP4B	1.15840293256794e-25	0.802
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000184357.4	HIST1H1B	4.68471361780094e-25	0.565
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000170265.11	ZNF282	1.34780836784728e-24	0.607
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000175550.7	DRAP1	4.95958953131801e-22	0.743
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000175592.8	FOSL1	6.17138122239265e-21	0.867
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000153094.22	BCL2L11	7.81500261339332e-21	0.824
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000185201.16	IFITM2	1.08420477336828e-20	0.968
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000134987.11	WDR36	1.27753497150291e-20	0.97
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000172638.12	EFEMP2	2.35110892314191e-20	0.546
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000125755.18	SYMPK	3.41592293982184e-19	0.867
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000030110.12	BAK1	1.38935411777244e-18	0.958
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000154252.11	GAL3ST2	2.98575748269034e-18	0.739
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000178409.13	BEND3	3.44801964974237e-18	0.748
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000228889.6	UBAC2-AS1	8.29796294357105e-18	0.871
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000132510.10	KDM6B	5.20549360231636e-17	1
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000169252.5	ADRB2	1.25357950954004e-16	0.884
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000124508.16	BTN2A2	6.8080004135157e-16	0.545
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000134882.15	UBAC2	1.43372481411688e-15	0.901
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000281162.2	LINC01127	2.42708213915672e-15	0.991
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000179526.16	SHARPIN	2.72506388331244e-15	0.998
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000198121.13	LPAR1	6.60772623168671e-15	0.646
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000149923.13	PPP4C	1.18865047687781e-14	0.945
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000149922.10	TBX6	1.29165076385118e-14	0.99
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000173535.13	TNFRSF10C	1.94967883403708e-14	0.999
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000168685.14	IL7R	2.31209753734063e-14	0.676
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000091181.19	IL5RA	1.67570612294784e-13	0.925
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000090238.11	YPEL3	1.79388083469748e-13	0.727
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000105889.14	STEAP1B	2.32146029089655e-13	0.564
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000180902.17	D2HGDH	2.45170209015865e-13	0.974
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000221869.4	CEBPD	2.63799707405145e-13	0.96
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000102882.11	MAPK3	2.84424368374382e-13	0.931
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000136371.10	MTHFS	6.60199319256183e-13	0.792
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000142089.15	IFITM3	6.92245128346418e-13	0.698
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000152804.10	HHEX	8.78402083501811e-13	0.803
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000179588.8	ZFPM1	2.2035145694657e-12	0.748
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000166949.15	SMAD3	5.58988587093992e-12	0.588
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000149926.13	FAM57B	7.01065304259294e-12	0.624
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000100362.12	PVALB	7.7300090145792e-12	0.999
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000102886.14	GDPD3	8.86574965754008e-12	0.966
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000108344.14	PSMD3	1.3174816707051e-11	0.64
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000100365.14	NCF4	1.31848371106623e-11	0.999
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000276791.1	CTD-2270P14.5	1.40430937721516e-11	0.879
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000249859.9	PVT1	2.43924409658156e-11	0.912
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000255328.1	RP11-326C3.12	2.59660390583213e-11	0.742
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000103355.13	PRSS33	4.81305717879027e-11	0.784
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000081059.19	TCF7	9.42646878208811e-11	0.957
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000091972.18	CD200	1.09777495061112e-10	0.58
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000267898.1	CTD-2639E6.9	1.39185501167713e-10	0.799
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000144648.15	ACKR2	1.60763317444207e-10	0.521
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000248489.1	LINC02062	2.31926865521069e-10	0.511
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000103363.14	ELOB	2.66089862071942e-10	0.694
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000162437.14	RAVER2	2.98973804441889e-10	0.658
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000087088.19	BAX	3.22355629530473e-10	0.822
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000283632.2	EXOC3L2	3.35601753648763e-10	0.77
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000205927.4	OLIG2	1.03764953204869e-09	0.95
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000077238.13	IL4R	1.08760008087203e-09	0.858
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000142599.17	RERE	1.14544397325337e-09	0.944
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000116691.10	MIIP	1.22886761953546e-09	0.534
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000165030.3	NFIL3	1.89698753110059e-09	0.813
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000134824.13	FADS2	2.19734806762757e-09	0.683
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000184378.2	ACTRT3	2.32812843485135e-09	0.778
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000149485.18	FADS1	2.46666221443758e-09	0.849
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000177479.19	ARIH2	2.8771548292398e-09	0.517
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000103064.13	SLC7A6	8.35222987050326e-09	0.562
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000148396.18	SEC16A	8.72465615310517e-09	0.662
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000140044.12	JDP2	9.11967518546674e-09	0.586
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000104738.16	MCM4	1.16936882075671e-08	0.687
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000167468.16	GPX4	1.47649410906665e-08	0.674
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000085274.15	MYNN	1.72088296875262e-08	0.618
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000100100.12	PIK3IP1	3.25440105966863e-08	0.623
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000168496.3	FEN1	4.44389388678182e-08	0.579
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000072736.18	NFATC3	4.84364674376845e-08	0.592
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000269667.1	RP11-542M13.2	5.13698278286431e-08	0.683
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000178252.17	WDR6	5.635331768206e-08	0.604
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000103066.12	PLA2G15	5.70104506198962e-08	0.956
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000139697.13	SBNO1	7.78814462815224e-08	0.515
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000145901.14	TNIP1	8.11979714321623e-08	0.807
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000087086.14	FTL	9.17357693637334e-08	0.503
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000099998.17	GGT5	9.6392740018955e-08	0.637
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000182934.11	SRPRA	1.03649497553615e-07	0.673
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000088325.15	TPX2	1.11808146626601e-07	0.836
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000183955.12	KMT5A	1.15302518208986e-07	0.558
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000132600.16	PRMT7	1.4772208512027e-07	0.614
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000111328.6	CDK2AP1	1.63090847438197e-07	0.681
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000115486.11	GGCX	1.6644371220685e-07	0.941
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000186652.9	PRG2	1.82051790488912e-07	0.598
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000275040.1	RP11-70D24.4	2.06382009919127e-07	0.634
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000147889.17	CDKN2A	2.10987545370706e-07	0.63
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000256433.2	RP1-102E24.8	2.17876502185271e-07	0.797
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000167264.17	DUS2	2.50560675481549e-07	0.62
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000127124.14	HIVEP3	2.58001568225266e-07	0.895
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000184221.12	OLIG1	3.01232734882611e-07	0.874
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000168906.12	MAT2A	3.06259767418598e-07	0.589
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000180448.10	ARHGAP45	3.16618394998688e-07	0.96
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000196218.12	RYR1	3.26502581455317e-07	0.717
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000109917.10	ZPR1	4.05221854997311e-07	0.875
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000120158.11	RCL1	6.49669142279691e-07	0.83
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000136630.12	HLX	7.07112689848173e-07	0.681
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000128604.19	IRF5	7.21610532609709e-07	0.962
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000148384.12	INPP5E	7.9930655456371e-07	0.529
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000076248.10	UNG	1.01739177211517e-06	0.569
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000204160.11	ZDHHC18	1.063505964077e-06	0.508
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000108443.13	RPS6KB1	1.19606078596027e-06	0.63
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000134802.17	SLC43A3	1.3151920761861e-06	0.524
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000106415.12	GLCCI1	1.41140657704363e-06	0.76
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000104808.7	DHDH	1.60321747509452e-06	0.813
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000171608.15	PIK3CD	1.96281787667989e-06	0.797
Astle_et_al_2016_Sum_eosinophil_basophil_counts	ENSG00000118640.10	VAMP8	2.05371147613889e-06	0.628
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000265799.1	RP11-387H17.6	2.37573210600588e-267	0.706
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000008838.19	MED24	7.92977064295872e-261	0.717
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000108344.14	PSMD3	3.66995541078784e-256	0.593
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000081041.8	CXCL2	3.44134396840817e-78	0.866
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000146592.16	CREB5	3.08420814664318e-75	1
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000163734.4	CXCL3	5.34348454152466e-69	0.643
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000196126.11	HLA-DRB1	1.2501740999335e-61	0.786
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000105767.2	CADM4	7.12530302392055e-61	1
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000204525.16	HLA-C	3.04602807720896e-56	0.983
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000206503.12	HLA-A	7.56078801377702e-49	0.999
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000196735.11	HLA-DQA1	1.00763244691337e-46	0.744
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000185201.16	IFITM2	1.97406538759131e-44	0.998
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000119535.17	CSF3R	6.18174352371135e-43	0.984
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000187122.16	SLIT1	4.63933705569736e-36	0.736
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000165879.8	FRAT1	2.42225309172009e-35	0.631
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000213390.10	ARHGAP19	5.70633186037151e-34	0.756
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000283632.2	EXOC3L2	4.47611476684603e-33	0.758
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000099256.18	PRTFDC1	3.96792393483816e-30	0.866
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000255328.1	RP11-326C3.12	6.97920733994042e-30	0.896
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000116885.18	OSCP1	4.82192497063421e-28	0.954
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000142089.15	IFITM3	1.17375312303178e-27	0.844
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000153814.11	JAZF1	3.6511687618343e-24	1
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000141027.20	NCOR1	2.82468813140081e-23	0.551
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000108474.16	PIGL	2.15019890258381e-22	0.798
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000270030.1	RP11-326C3.13	9.75405562815541e-21	0.522
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000197375.12	SLC22A5	1.5023941922488e-20	0.964
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000103966.10	EHD4	2.57618203146588e-20	0.925
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000122025.14	FLT3	3.22684591769903e-19	0.655
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000135535.15	CD164	6.32089181276609e-17	0.523
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000140968.10	IRF8	1.14432057656261e-16	0.912
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000143669.13	LYST	1.75488150545664e-16	0.529
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000137877.9	SPTBN5	2.81959060842227e-16	0.565
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000152253.8	SPC25	3.61672038294169e-16	0.924
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000184357.4	HIST1H1B	4.12779391244896e-16	0.763
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000116898.11	MRPS15	1.55232712418875e-15	0.953
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000113742.12	CPEB4	1.81491204107131e-15	0.992
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000131507.10	NDFIP1	2.53036295403273e-15	0.769
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000169194.9	IL13	5.92256450302909e-15	0.538
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000169252.5	ADRB2	6.48395277794214e-15	0.9
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000111850.10	SMIM8	1.10274612223301e-14	0.746
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000152254.10	G6PC2	1.24756284813821e-14	0.958
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000183323.12	CCDC125	4.8162420397122e-14	0.732
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000165688.11	PMPCA	5.18685807836949e-14	0.936
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000112339.14	HBS1L	7.03903101401235e-14	0.741
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000149485.18	FADS1	1.83449530908212e-13	0.917
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000148384.12	INPP5E	1.84910606423977e-13	0.954
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000204160.11	ZDHHC18	2.20604116064655e-13	0.677
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000084734.8	GCKR	4.1791565565502e-13	0.555
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000197208.5	SLC22A4	6.4463268478184e-13	0.885
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000148396.18	SEC16A	7.3776314606034e-13	0.916
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000163072.15	NOSTRIN	9.08935250014660e-13	0.946
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000164362.18	TERT	1.02508797582674e-12	0.514
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000022567.9	SLC45A4	1.33632067424917e-12	0.979
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000138002.14	IFT172	1.43832827764738e-12	0.645
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000136536.14	MARCH7	2.10612951064676e-12	0.685
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000165689.16	SDCCAG3	4.7624642608967e-12	0.536
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000127022.14	CANX	5.62986083215775e-12	0.884
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000164691.16	TAGAP	8.90194840953518e-12	0.927
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000155893.12	PXYLP1	9.18626989461825e-12	0.819
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000254093.8	PINX1	1.19383079130568e-11	0.603
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000232328.1	AC011286.1	1.59544479818479e-11	0.781
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000134824.13	FADS2	2.76310675464708e-11	0.698
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000085491.15	SLC25A24	2.82484348265608e-11	0.974
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000063176.15	SPHK2	3.05189198943082e-11	0.916
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000100583.4	SAMD15	5.52990819111587e-11	0.871
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000063180.8	CA11	5.67795179833126e-11	0.959
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000100580.7	TMED8	5.94404817413995e-11	0.867
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000096968.13	JAK2	7.83032920624305e-11	0.969
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000134058.11	CDK7	8.72024387124863e-11	0.682
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000168496.3	FEN1	1.20212241946265e-10	0.621
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000072694.20	FCGR2B	2.09488404162727e-10	0.765
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000132510.10	KDM6B	2.25813065144348e-10	0.999
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000163050.16	COQ8A	2.45187217961013e-10	0.776
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000163464.7	CXCR1	3.05710230474236e-10	1
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000147852.15	VLDLR	3.20339689051133e-10	0.774
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000153044.9	CENPH	3.22211844234009e-10	0.705
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000115970.18	THADA	3.9442311035894e-10	0.571
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000267534.2	S1PR2	3.95973894367304e-10	0.806
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000161013.16	MGAT4B	4.03968188431723e-10	0.594
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000163635.17	ATXN7	4.50942708848832e-10	0.806
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000132321.16	IQCA1	5.56528400388169e-10	0.753
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000104938.16	CLEC4M	5.9594482258241e-10	0.923
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000124788.17	ATXN1	6.2611753345015e-10	0.973
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000134056.11	MRPS36	7.37178241571193e-10	0.533
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000141452.9	C18orf8	8.52925695580316e-10	0.854
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000175164.13	ABO	9.57333393437762e-10	0.924
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000144476.5	ACKR3	1.00036048375332e-09	0.835
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000186086.18	NBPF6	1.06655807152825e-09	0.711
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000165555.9	NOXRED1	1.30077020130956e-09	0.738
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000267337.1	LINC01478	1.31619304116318e-09	0.855
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000275832.4	ARHGAP23	2.12764085227898e-09	0.663
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000173535.13	TNFRSF10C	2.56208367087931e-09	0.949
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000152242.10	C18orf25	2.57461250066149e-09	0.719
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000168769.13	TET2	2.67550000760149e-09	0.659
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000188452.13	CERKL	2.75414642647316e-09	0.965
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000136144.11	RCBTB1	2.87575027982626e-09	0.931
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000254087.7	LYN	4.1729528825657e-09	0.883
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000180432.5	CYP8B1	4.41651582666167e-09	0.729
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000143771.11	CNIH4	4.66280812914983e-09	0.606
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000162511.7	LAPTM5	4.83449534577604e-09	0.832
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000175489.9	LRRC25	6.32155605114469e-09	0.965
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000103187.7	COTL1	7.02619582861282e-09	0.956
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000184988.8	TMEM106A	7.95319791188033e-09	0.759
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000251259.1	AC004069.2	7.96309471432376e-09	0.951
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000063177.12	RPL18	1.11344822850518e-08	0.707
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000064666.14	CNN2	1.92077493354927e-08	0.822
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000169118.17	CSNK1G1	2.28001253278057e-08	0.907
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000154511.11	FAM69A	2.46510242657618e-08	0.622
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000167193.7	CRK	2.52925824168171e-08	0.854
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000234255.8	AC012370.3	3.13831222497653e-08	0.664
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000186868.15	MAPT	3.66017545463871e-08	0.668
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000253641.5	LINCR-0001	3.7200707727688e-08	0.644
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000273142.1	RP11-458F8.4	4.94140945316696e-08	0.67
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000141458.12	NPC1	5.31672651427531e-08	0.687
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000143786.7	CNIH3	6.25941920205535e-08	0.66
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000090382.6	LYZ	6.97838297104797e-08	0.996
Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	ENSG00000139567.12	ACVRL1	7.5734242386312e-08	0.967
